,cityFrom,lat_ori,lon_ori,cityTo,lat,lon,station_orig,station_dest,Tps_trajet_sec,Tps_total_sec,mode,Distance,Tps_transit_aller,Tps_transit_retour,Tps_total_transit,Tps_total_avec_transit,lat_dest_centre,lon_dest_centre,lat_prop_tps,lon_prop_tps
470,Marseille,43.302666,5.380407,Besançon,47.247049,6.021943,Marseille - Saint-Charles,Lunéville Train Station,24488,27420,Train,441.5,884,212,1096,25584,3.944382999999995,0.6415360000000003,420.0,68.45252929748787
471,Marseille,43.302666,5.380407,Dijon,47.323411,5.027256,Marseille - Saint-Charles,Valence Ville,3488,5730,Train,447.9,884,0,884,4372,4.020744999999998,-0.35315099999999955,72.0,-6.375497190920276
472,Marseille,43.302666,5.380407,Paris,48.844945,2.373481,Marseille - Saint-Charles,Nancy Train Station,23228,26160,Train,658.3,884,777,1661,24889,5.542279000000001,-3.006926,364.0,-197.81724899598922
473,Marseille,43.302666,5.380407,Tarbes,43.239863,0.069442,Marseille - Saint-Charles,Château-Thierry Train Station,16988,19230,Train,430.0,884,318,1202,18190,-0.06280300000000238,-5.3109649999999995,-3.5847430926017436,-303.145472330922
474,Marseille,43.302666,5.380407,Cahors,44.449275,1.433325,Marseille - Saint-Charles,Nice Saint-Augustin,5378,8970,Train,341.1,884,815,1699,7077,1.146608999999998,-3.947082,32.0,-113.26759602497069
475,Marseille,43.302666,5.380407,Muret,43.464824,1.324449,Marseille - Saint-Charles,Chambéry - Challes-les-Eaux,9698,12630,Train,328.2,884,464,1348,11046,0.16215799999999803,-4.055958,7.0,-183.95304194459584
476,Marseille,43.302666,5.380407,Angoulême,45.653572,0.164608,Marseille - Saint-Charles,Riom - Châtel-Guyon,11708,14640,Train,489.3,884,334,1218,12926,2.350905999999995,-5.215799,88.0,-196.40475578536933
477,Marseille,43.302666,5.380407,Angers,47.464649,-0.55677,Marseille - Saint-Charles,Vichy Train Station,10298,13230,Train,654.7,884,223,1107,11405,4.161982999999999,-5.937177,109.0,-155.64890527262278
478,Marseille,43.302666,5.380407,Saint-Nazaire,47.286489,-2.211079,Marseille - Saint-Charles,Nevers Train Station,14618,17550,Train,740.3,884,441,1325,15943,3.983823000000001,-7.591486,123.0,-235.28675178618138
479,Marseille,43.302666,5.380407,Quimper,47.994455,-4.092103,Marseille - Saint-Charles,Montargis Train Station,16988,19230,Train,901.4,884,291,1175,18163,4.691789,-9.47251,134.0,-271.2654527998551
480,Marseille,43.302666,5.380407,Brest,48.38762,-4.480306,Marseille - Saint-Charles,Carcassonne Train Station,9428,11220,Train,949.1,884,308,1192,10620,5.084953999999996,-9.860713,81.0,-157.3147562461334
481,Marseille,43.302666,5.380407,Lisieux,49.138299,0.231143,Marseille - Saint-Charles,Châteauroux Train Station,24968,27900,Train,759.8,884,343,1227,26195,5.835633000000001,-5.149264,327.0,-288.8585327457779
482,Marseille,43.302666,5.380407,Cambrai,50.176582,3.241197,Marseille - Saint-Charles,Libourne Train Station,23258,25050,Train,781.4,884,291,1175,24433,6.873916000000001,-2.13921,388.0,-121.00440439579718
483,Marseille,43.302666,5.380407,Arras,50.286971,2.781314,Marseille - Saint-Charles,Poitiers Train Station,24188,24600,Train,801.3,884,593,1477,25665,6.984304999999999,-2.599093,400.0,-149.18505498009134
484,Marseille,43.369599,5.35781,Aix-en-Provence,43.522903,5.44533,Marseille - Saint-Charles,Blois - Chambord,1598,21930,Train,25.0,884,0,884,2482,0.15330399999999855,0.08752000000000049,35.0,20.50907636749845
485,Marseille,43.302666,5.380407,Lille,50.636577,3.06987,Marseille - Saint-Charles,Saintes Train Station,19958,28770,Train,834.0,884,420,1304,21262,7.3339110000000005,-2.310537,337.0,-106.48313574676642
486,Marseille,43.302666,5.380407,Compiègne,49.421977,2.823693,Marseille - Saint-Charles,La Roche-sur-Yon,29648,30060,Train,708.0,884,0,884,30532,6.119310999999996,-2.556714,469.0,-196.1755799481317
487,Marseille,43.302666,5.380407,Chaumont,48.10976,5.1346,Marseille - Saint-Charles,La Rochelle,23078,31890,Train,534.9,884,0,884,23962,4.807093999999999,-0.2458070000000001,398.0,-20.39465718028127
488,Marseille,43.369599,5.35781,Gap,44.563714,6.085669,Marseille - Saint-Charles,Cholet Train Station,28568,28980,Train,151.2,884,418,1302,29870,1.1941149999999965,0.7278590000000005,425.0,259.108280644415
489,Marseille,43.302666,5.380407,Grenoble,45.192693,5.714366,Marseille - Saint-Charles,Saint-Malo Train Station,4928,25260,Train,211.8,884,670,1554,6482,1.8900269999999963,0.3339590000000001,106.0,18.797798633300967
490,Marseille,43.302666,5.380407,Clermont-Ferrand,45.778945,3.100543,Marseille - Saint-Charles,Vannes Train Station,29828,30240,Train,329.3,884,471,1355,31183,2.476278999999998,-2.279864,382.0,-352.0186398430165
