,cityFrom,lat_ori,lon_ori,cityTo,lat,lon,station_orig,station_dest,Tps_trajet_sec,Tps_total_sec,mode,Distance,Tps_transit_aller,Tps_transit_retour,Tps_total_transit,Tps_total_avec_transit,lat_dest_centre,lon_dest_centre,lat_prop_tps,lon_prop_tps
452,Bordeaux,44.825873,-0.556697,Bayeux,49.269729,-0.6981,Bordeaux,Bayeux,21712,21712,Voiture,494.3,0,0,0,21712,4.443855999999997,-0.14140300000000006,361.0,-11.508731935504816
454,Bordeaux,44.825873,-0.556697,Rouen,49.448663,1.094103,Bordeaux,Rouen,22331,22331,Voiture,528.9,0,0,0,22331,4.622790000000002,1.6508,350.0,125.16559260130238
455,Bordeaux,44.825873,-0.556697,Dreux,48.731492,1.370164,Bordeaux,Dreux,20370,20370,Voiture,458.4,0,0,0,20370,3.9056190000000015,1.926861,304.0,150.20860571815496
459,Bordeaux,44.825873,-0.556697,Douai,50.371673,3.089958,Bordeaux,Douai,27501,27501,Voiture,674.4,0,0,0,27501,5.5458,3.646655,382.0,251.82525794767082
460,Bordeaux,44.825873,-0.556697,Abbeville,50.102175,1.824538,Bordeaux,Abbeville,26152,26152,Voiture,613.3,0,0,0,26152,5.276302000000001,2.381235,397.0,179.2961707918366
461,Bordeaux,44.825873,-0.556697,Saverne,48.744483,7.362055,Bordeaux,Saverne,33941,33941,Voiture,743.3,0,0,0,33941,3.918610000000001,7.918752,250.0,507.0022720885853
462,Bordeaux,44.825873,-0.556697,Bar-le-Duc,48.773598,5.167053,Bordeaux,Bar-le-Duc,28205,28205,Voiture,618.1,0,0,0,28205,3.9477249999999984,5.72375,266.0,386.9687768512243
463,Bordeaux,44.825873,-0.556697,Sedan,49.695024,4.930373,Bordeaux,Sedan,28498,28498,Voiture,681.2,0,0,0,28498,4.869150999999995,5.48707,315.0,355.2594430274103
465,Bordeaux,44.825873,-0.556697,Narbonne,43.190618,3.005667,Bordeaux,Narbonne,13706,13706,Voiture,337.9,0,0,0,13706,-1.6352550000000008,3.5623639999999996,-95.29844206464608,207.60538219860553
466,Bordeaux,44.825873,-0.556697,Alès,44.127825,4.084948,Bordeaux,Alès,19771,19771,Voiture,376.3,0,0,0,19771,-0.698048,4.641645,-49.004316742319915,325.85243677426973
468,Bordeaux,44.825873,-0.556697,Lunéville,48.58799,6.496997,Bordeaux,Lunéville,30772,30772,Voiture,680.9,0,0,0,30772,3.7621169999999964,7.053694,241.0,452.5254993968483
469,Bordeaux,44.825873,-0.556697,Valence,44.928081,4.893288,Bordeaux,Valence,22713,22713,Voiture,429.5,0,0,0,22713,0.10220799999999741,5.449985,7.0,378.48344849488967
470,Bordeaux,44.825873,-0.556697,Nancy,48.689857,6.174579,Bordeaux,Nancy,30390,30390,Voiture,668.5,0,0,0,30390,3.863984000000002,6.731275999999999,252.0,439.27121765821937
473,Bordeaux,44.825873,-0.556697,Château-Thierry,49.03814,3.409302,Bordeaux,Château-Thierry,23388,23388,Voiture,556.7,0,0,0,23388,4.212266999999997,3.965999,283.0,267.20918921212063
475,Bordeaux,44.825873,-0.556697,Nice,43.704556,7.261904,Bordeaux,Nice,27834,27834,Voiture,634.7,0,0,0,27834,-1.1213170000000048,7.818601,-65.85711289812659,459.2015360173825
476,Bordeaux,44.825873,-0.556697,Chambéry,45.571302,5.919547,Bordeaux,Chambéry,23247,23247,Voiture,514.0,0,0,0,23247,0.7454290000000015,6.4762439999999994,44.0,384.9086615350394
478,Bordeaux,44.825873,-0.556697,Nevers,46.987282,3.150743,Bordeaux,Nevers,18934,18934,Voiture,374.2,0,0,0,18934,2.161408999999999,3.70744,158.0,272.62028355420813
483,Bordeaux,44.825873,-0.556697,Montargis,48.006862,2.742783,Bordeaux,Montargis,18905,18905,Voiture,434.7,0,0,0,18905,3.1809889999999967,3.29948,218.0,226.8333507175602
485,Bordeaux,44.825873,-0.556697,Carcassonne,43.218029,2.351824,Bordeaux,Carcassonne,11879,11879,Voiture,293.3,0,0,0,11879,-1.607844,2.9085210000000004,-95.78476320350097,173.2705382222466
488,Bordeaux,44.825873,-0.556697,Châteauroux,46.809812,1.699483,Bordeaux,Châteauroux,13958,13958,Voiture,281.5,0,0,0,13958,1.9839389999999995,2.25618,153.0,174.69855457610845
489,Bordeaux,44.825873,-0.556697,Libourne,44.915904,-0.236359,Bordeaux,Libourne,2649,2649,Voiture,27.2,0,0,0,2649,0.0900309999999962,0.320338,11.0,42.50325365571712
490,Bordeaux,44.825873,-0.556697,Poitiers,46.582232,0.333136,Bordeaux,Poitiers,9481,9481,Voiture,207.2,0,0,0,9481,1.7563589999999962,0.889833,140.0,71.4144218795371
492,Bordeaux,44.825873,-0.556697,Blois,47.585449,1.323759,Bordeaux,Blois,14324,14324,Voiture,339.2,0,0,0,14324,2.7595759999999956,1.880456,197.0,134.43490296313783
493,Bordeaux,44.825873,-0.556697,Saintes,45.74874,-0.6179,Bordeaux,Saintes,5037,5037,Voiture,102.7,0,0,0,5037,0.9228669999999966,-0.06120300000000001,83.0,-5.55522109751101
494,Bordeaux,44.825873,-0.556697,Roche-sur-Yon,46.672075,-1.43566,Bordeaux,Roche-sur-Yon,10636,10636,Voiture,216.3,0,0,0,10636,1.8462019999999981,-0.8789629999999999,160.0,-76.20011488927297
495,Bordeaux,44.825873,-0.556697,Rochelle,46.152705,-1.145853,Bordeaux,Rochelle,7642,7642,Voiture,154.5,0,0,0,7642,1.326831999999996,-0.589156,116.0,-51.688417340572734
496,Bordeaux,44.825873,-0.556697,Cholet,47.065702,-0.869897,Bordeaux,Cholet,11770,11770,Voiture,250.2,0,0,0,11770,2.2398290000000003,-0.31320000000000003,194.0,-27.166093770088573
498,Bordeaux,44.825873,-0.556697,Saint-Malo,48.646859,-2.004158,Bordeaux,Saint-Malo,19331,19331,Voiture,438.9,0,0,0,19331,3.8209859999999978,-1.4474609999999999,301.0,-114.13418016947101
499,Bordeaux,44.825873,-0.556697,Vannes,47.665169,-2.75245,Bordeaux,Vannes,16277,16277,Voiture,358.0,0,0,0,16277,2.8392959999999974,-2.195753,214.0,-165.95839405147524
500,Bordeaux,44.825873,-0.556697,Lorient,47.755597,-3.366221,Bordeaux,Lorient,18292,18292,Voiture,390.7,0,0,0,18292,2.929724,-2.8095239999999997,220.0,-211.01215285585067
501,Bordeaux,44.825873,-0.556697,Rennes,48.103517,-1.672744,Bordeaux,Rennes,16659,16659,Voiture,374.3,0,0,0,16659,3.277643999999995,-1.116047,262.0,-89.49474550888458
502,Bordeaux,44.825873,-0.556697,Évreux,49.018748,1.149629,Bordeaux,Évreux,22303,22303,Voiture,483.9,0,0,0,22303,4.192875000000001,1.706326,344.0,140.11496627007512
503,Bordeaux,44.825873,-0.556697,Valenciennes,50.363187,3.517124,Bordeaux,Valenciennes,27560,27560,Voiture,687.1,0,0,0,27560,5.537314000000002,4.073821,369.0,272.20297154592066
504,Bordeaux,44.825873,-0.556697,Béthune,50.521454,2.640509,Bordeaux,Béthune,27892,27892,Voiture,676.9,0,0,0,27892,5.695580999999997,3.1972060000000004,405.0,227.55144351251263
506,Bordeaux,44.825873,-0.556697,Amiens,49.890584,2.308277,Bordeaux,Amiens,25804,25804,Voiture,603.0,0,0,0,25804,5.0647109999999955,2.864974,374.0,211.74687449499973
507,Bordeaux,44.825873,-0.556697,Clermont,49.385278,2.417663,Bordeaux,Clermont,14036,14036,Voiture,554.6,0,0,0,14036,4.559404999999998,2.97436,195.0,127.81541622124743
508,Bordeaux,44.825873,-0.556697,Dunkerque,51.03041,2.368991,Bordeaux,Dunkerque,31353,31353,Voiture,723.4,0,0,0,31353,6.204537000000002,2.925688,472.0,222.8684966211564
510,Bordeaux,44.825873,-0.556697,Soissons,49.369226,3.33809,Bordeaux,Soissons,24401,24401,Voiture,584.7,0,0,0,24401,4.543352999999996,3.894787,308.0,264.68498265140335
512,Bordeaux,44.825873,-0.556697,Strasbourg,48.584532,7.734793,Bordeaux,Strasbourg,35047,35047,Voiture,757.2,0,0,0,35047,3.7586590000000015,8.29149,241.0,532.0065017880902
515,Bordeaux,44.825873,-0.556697,Vitry-le-François,48.717913,4.587515,Bordeaux,Vitry-le-François,25395,25395,Voiture,583.5,0,0,0,25395,3.8920400000000015,5.144212,255.0,337.5299457907387
