,codes,name,links,coord,label,timezone,id,administrative_regions,insee,uic,lat,lon,city
15,"[{'type': 'source', 'value': '80191049'}, {'type': 'uic', 'value': '80191049'}]",Hagenbach,[],"{'lat': '49.016', 'lon': '8.253'}",Hagenbach (Hagenbach),Europe/Paris,stop_area:SNCF:80191049,"[{'insee': '', 'name': 'Hagenbach', 'level': 8, 'coord': {'lat': '49.0134033320828', 'lon': '8.252709688499802'}, 'label': 'Hagenbach', 'id': 'admin:osm:relation:1250485', 'zip_code': ''}]",,80191049,49.016,8.253,Hagenbach
16,"[{'type': 'source', 'value': '82002501'}, {'type': 'uic', 'value': '82002501'}]",Howald,[],"{'lat': '49.58032', 'lon': '6.13232'}",Howald (Hesperange),Europe/Paris,stop_area:SNCF:82002501,"[{'insee': '', 'name': 'Hesperange', 'level': 8, 'coord': {'lat': '49.5729552', 'lon': '6.1615727'}, 'label': 'Hesperange', 'id': 'admin:osm:relation:410953', 'zip_code': ''}]",,82002501,49.58032,6.13232,Hesperange
18,"[{'type': 'source', 'value': '80194308'}, {'type': 'uic', 'value': '80194308'}]",Insheim,[],"{'lat': '49.15724', 'lon': '8.152139999999999'}",Insheim (Insheim),Europe/Paris,stop_area:SNCF:80194308,"[{'insee': '', 'name': 'Insheim', 'level': 8, 'coord': {'lat': '49.1571411', 'lon': '8.148050099999999'}, 'label': 'Insheim', 'id': 'admin:osm:relation:1252794', 'zip_code': ''}]",,80194308,49.15724,8.15214,Insheim
9,"[{'type': 'source', 'value': '80196980'}, {'type': 'uic', 'value': '80196980'}]",Kaiserslautern Hbf,[],"{'lat': '49.4359', 'lon': '7.7688'}",Kaiserslautern Hbf (Kaiserslautern),Europe/Paris,stop_area:SNCF:80196980,"[{'insee': '', 'name': 'Kaiserslautern', 'level': 8, 'coord': {'lat': '49.44321739999999', 'lon': '7.7689951'}, 'label': 'Kaiserslautern', 'id': 'admin:osm:relation:62652', 'zip_code': ''}]",,80196980,49.4359,7.7688,Kaiserslautern
12,"[{'type': 'source', 'value': '80142281'}, {'type': 'uic', 'value': '80142281'}]",Karlsruhe Hbf,[],"{'lat': '48.9935', 'lon': '8.401899999999999'}",Karlsruhe Hbf (Karlsruhe),Europe/Paris,stop_area:SNCF:80142281,"[{'insee': '', 'name': 'Karlsruhe', 'level': 8, 'coord': {'lat': '49.0068705', 'lon': '8.4034195'}, 'label': 'Karlsruhe', 'id': 'admin:osm:relation:62518', 'zip_code': ''}]",,80142281,48.9935,8.4019,Karlsruhe
15,"[{'type': 'source', 'value': '80142927'}, {'type': 'uic', 'value': '80142927'}]",Kehl,[],"{'lat': '48.5767', 'lon': '7.8063'}",Kehl (Kehl),Europe/Paris,stop_area:SNCF:80142927,"[{'insee': '', 'name': 'Kehl', 'level': 8, 'coord': {'lat': '48.57207220169926', 'lon': '7.850108430037049'}, 'label': 'Kehl', 'id': 'admin:osm:relation:452979', 'zip_code': ''}]",,80142927,48.5767,7.8063,Kehl
3,"[{'type': 'source', 'value': '80251850'}, {'type': 'uic', 'value': '80251850'}]",Konz Mitte,[],"{'lat': '49.700046', 'lon': '6.57329'}",Konz Mitte (Konz),Europe/Paris,stop_area:SNCF:80251850,"[{'insee': '', 'name': 'Konz', 'level': 8, 'coord': {'lat': '49.6984949', 'lon': '6.573645399999999'}, 'label': 'Konz', 'id': 'admin:osm:relation:1255968', 'zip_code': ''}]",,80251850,49.700046,6.57329,Konz
4,"[{'type': 'source', 'value': '80142919'}, {'type': 'uic', 'value': '80142919'}]",Kork,[],"{'lat': '48.5702', 'lon': '7.8744'}",Kork (Kehl),Europe/Paris,stop_area:SNCF:80142919,"[{'insee': '', 'name': 'Kehl', 'level': 8, 'coord': {'lat': '48.57207220169926', 'lon': '7.850108430037049'}, 'label': 'Kehl', 'id': 'admin:osm:relation:452979', 'zip_code': ''}]",,80142919,48.5702,7.8744,Kehl
21,"[{'type': 'source', 'value': '85043141'}, {'type': 'uic', 'value': '85043141'}]",La Chaux-de-Fonds,[],"{'lat': '47.09865', 'lon': '6.82603'}",La Chaux-de-Fonds (La Chaux-de-Fonds),Europe/Paris,stop_area:SNCF:85043141,"[{'insee': '', 'name': 'La Chaux-de-Fonds', 'level': 8, 'coord': {'lat': '47.11016116855272', 'lon': '6.833421669587788'}, 'label': 'La Chaux-de-Fonds', 'id': 'admin:osm:relation:1685495', 'zip_code': ''}]",,85043141,47.09865,6.82603,La Chaux-de-Fonds
0,"[{'type': 'source', 'value': '80143198'}, {'type': 'uic', 'value': '80143198'}]",Lahr (Schwarzw),[],"{'lat': '48.3406', 'lon': '7.8353'}",Lahr (Schwarzw) (Lahr/Schwarzwald),Europe/Paris,stop_area:SNCF:80143198,"[{'insee': '', 'name': 'Lahr/Schwarzwald', 'level': 8, 'coord': {'lat': '48.33551083760668', 'lon': '7.874234538588353'}, 'label': 'Lahr/Schwarzwald', 'id': 'admin:osm:relation:453002', 'zip_code': ''}]",,80143198,48.3406,7.8353,Lahr/Schwarzwald
23,"[{'type': 'source', 'value': '85171421'}, {'type': 'uic', 'value': '85171421'}]",Lancy-Bachet,[],"{'lat': '46.174333', 'lon': '6.129372'}",Lancy-Bachet (Lancy),Europe/Paris,stop_area:SNCF:85171421,"[{'insee': '', 'name': 'Lancy', 'level': 8, 'coord': {'lat': '46.1839156', 'lon': '6.1224047'}, 'label': 'Lancy', 'id': 'admin:osm:relation:1685502', 'zip_code': ''}]",,85171421,46.174333,6.129372,Lancy
24,"[{'type': 'source', 'value': '85161554'}, {'type': 'uic', 'value': '85161554'}]",Lancy-Pont-Rouge,[],"{'lat': '46.188897', 'lon': '6.125333'}",Lancy-Pont-Rouge (Lancy),Europe/Paris,stop_area:SNCF:85161554,"[{'insee': '', 'name': 'Lancy', 'level': 8, 'coord': {'lat': '46.1839156', 'lon': '6.1224047'}, 'label': 'Lancy', 'id': 'admin:osm:relation:1685502', 'zip_code': ''}]",,85161554,46.188897,6.125333,Lancy
1,"[{'type': 'source', 'value': '80194266'}, {'type': 'uic', 'value': '80194266'}]",Landau (Pfalz) Hbf,[],"{'lat': '49.1982', 'lon': '8.125999999999999'}",Landau (Pfalz) Hbf (Landau in der Pfalz),Europe/Paris,stop_area:SNCF:80194266,"[{'insee': '', 'name': 'Landau in der Pfalz', 'level': 8, 'coord': {'lat': '49.1982825', 'lon': '8.1123441'}, 'label': 'Landau in der Pfalz', 'id': 'admin:osm:relation:62391', 'zip_code': ''}]",,80194266,49.1982,8.126,Landau in der Pfalz
24,"[{'type': 'source', 'value': '85011205'}, {'type': 'uic', 'value': '85011205'}]",Lausanne,[],"{'lat': '46.51679', 'lon': '6.62909'}",Lausanne (Lausanne),Europe/Paris,stop_area:SNCF:85011205,"[{'insee': '', 'name': 'Lausanne', 'level': 8, 'coord': {'lat': '46.5218269', 'lon': '6.6327025'}, 'label': 'Lausanne', 'id': 'admin:osm:relation:1685018', 'zip_code': ''}]",,85011205,46.51679,6.62909,Lausanne
18,"[{'type': 'source', 'value': '85043158'}, {'type': 'uic', 'value': '85043158'}]",Le Crêt-du-Locle,[],"{'lat': '47.0776', 'lon': '6.78519'}",Le Crêt-du-Locle (La Chaux-de-Fonds),Europe/Paris,stop_area:SNCF:85043158,"[{'insee': '', 'name': 'La Chaux-de-Fonds', 'level': 8, 'coord': {'lat': '47.11016116855272', 'lon': '6.833421669587788'}, 'label': 'La Chaux-de-Fonds', 'id': 'admin:osm:relation:1685495', 'zip_code': ''}]",,85043158,47.0776,6.78519,La Chaux-de-Fonds
13,"[{'type': 'source', 'value': '85043166'}, {'type': 'uic', 'value': '85043166'}]",Le Locle,[],"{'lat': '47.05786', 'lon': '6.74616'}",Le Locle (Le Locle),Europe/Paris,stop_area:SNCF:85043166,"[{'insee': '', 'name': 'Le Locle', 'level': 8, 'coord': {'lat': '47.06036539222593', 'lon': '6.740392386445066'}, 'label': 'Le Locle (2400)', 'id': 'admin:osm:relation:1685506', 'zip_code': '2400'}]",,85043166,47.05786,6.74616,Le Locle
14,"[{'type': 'source', 'value': '87598219'}, {'type': 'uic', 'value': '87598219'}]",Le Locle Col des Roches,[],"{'lat': '47.049887', 'lon': '6.7258'}",Le Locle Col des Roches (Le Locle),Europe/Paris,stop_area:SNCF:87598219,"[{'insee': '', 'name': 'Le Locle', 'level': 8, 'coord': {'lat': '47.06036539222593', 'lon': '6.740392386445066'}, 'label': 'Le Locle (2400)', 'id': 'admin:osm:relation:1685506', 'zip_code': '2400'}]",,87598219,47.049887,6.7258,Le Locle
9,"[{'type': 'source', 'value': '80142901'}, {'type': 'uic', 'value': '80142901'}]",Legelshurst,[],"{'lat': '48.5585', 'lon': '7.9138'}",Legelshurst (Willstätt),Europe/Paris,stop_area:SNCF:80142901,"[{'insee': '', 'name': 'Willstätt', 'level': 8, 'coord': {'lat': '48.55079514899536', 'lon': '7.894595417895565'}, 'label': 'Willstätt', 'id': 'admin:osm:relation:452980', 'zip_code': ''}]",,80142901,48.5585,7.9138,Willstätt
15,"[{'type': 'source', 'value': '85010116'}, {'type': 'uic', 'value': '85010116'}]",Les Tuileries,[],"{'lat': '46.249945', 'lon': '6.147342'}",Les Tuileries (Bellevue),Europe/Paris,stop_area:SNCF:85010116,"[{'insee': '', 'name': 'Bellevue', 'level': 8, 'coord': {'lat': '46.25466376486708', 'lon': '6.14528788330471'}, 'label': 'Bellevue (1293)', 'id': 'admin:osm:relation:1685450', 'zip_code': '1293'}]",,85010116,46.249945,6.147342,Bellevue
15,"[{'type': 'source', 'value': '88410040'}, {'type': 'uic', 'value': '88410040'}]",Liege-Guil,[],"{'lat': '50.622', 'lon': '5.568'}",Liege-Guil (Liège),Europe/Paris,stop_area:SNCF:88410040,"[{'insee': '', 'name': 'Liège', 'level': 8, 'coord': {'lat': '50.6451381', 'lon': '5.5734203'}, 'label': 'Liège (4000)', 'id': 'admin:osm:relation:1681788', 'zip_code': '4000'}]",,88410040,50.622,5.568,Liège
16,"[{'type': 'source', 'value': '70154005'}, {'type': 'uic', 'value': '70154005'}]",Londres Saint Pancras,[],"{'lat': '51.5338', 'lon': '-0.12807'}",Londres Saint Pancras (Camden Town),Europe/Paris,stop_area:SNCF:70154005,"[{'insee': '', 'name': 'Camden Town', 'level': 8, 'coord': {'lat': '51.5423045', 'lon': '-0.1395604'}, 'label': 'Camden Town', 'id': 'admin:osm:node:399607277', 'zip_code': ''}]",,70154005,51.5338,-0.12807,Camden Town
13,"[{'type': 'source', 'value': '82001000'}, {'type': 'uic', 'value': '82001000'}]",Luxembourg,[],"{'lat': '49.599722', 'lon': '6.134722'}",Luxembourg (Luxembourg),Europe/Paris,stop_area:SNCF:82001000,"[{'insee': '', 'name': 'Luxembourg', 'level': 8, 'coord': {'lat': '49.6112768', 'lon': '6.129798999999999'}, 'label': 'Luxembourg', 'id': 'admin:osm:relation:407489', 'zip_code': ''}]",,82001000,49.599722,6.134722,Luxembourg
15,"[{'type': 'source', 'value': '82007104'}, {'type': 'uic', 'value': '82007104'}]",Luxembourg secteur Hollerich,[],"{'lat': '49.59586', 'lon': '6.11878'}",Luxembourg secteur Hollerich (Luxembourg),Europe/Paris,stop_area:SNCF:82007104,"[{'insee': '', 'name': 'Luxembourg', 'level': 8, 'coord': {'lat': '49.6112768', 'lon': '6.129798999999999'}, 'label': 'Luxembourg', 'id': 'admin:osm:relation:407489', 'zip_code': ''}]",,82007104,49.59586,6.11878,Luxembourg
21,"[{'type': 'source', 'value': '71600000'}, {'type': 'uic', 'value': '71600000'}]",Madrid Porte d'Atocha,[],"{'lat': '40.406259', 'lon': '-3.690583'}",Madrid Porte d'Atocha (Madrid),Europe/Paris,stop_area:SNCF:71600000,"[{'insee': '', 'name': 'Madrid', 'level': 8, 'coord': {'lat': '40.4167047', 'lon': '-3.7035825'}, 'label': 'Madrid', 'id': 'admin:osm:relation:5326784', 'zip_code': ''}]",,71600000,40.406259,-3.690583,Madrid
5,"[{'type': 'source', 'value': '80140087'}, {'type': 'uic', 'value': '80140087'}]",Mannheim Hbf,[],"{'lat': '49.4794', 'lon': '8.4696'}",Mannheim Hbf (Mannheim),Europe/Paris,stop_area:SNCF:80140087,"[{'insee': '', 'name': 'Mannheim', 'level': 8, 'coord': {'lat': '49.4892913', 'lon': '8.467309799999999'}, 'label': 'Mannheim', 'id': 'admin:osm:relation:62691', 'zip_code': ''}]",,80140087,49.4794,8.4696,Mannheim
17,"[{'type': 'source', 'value': '85015008'}, {'type': 'uic', 'value': '85015008'}]",Martigny,[],"{'lat': '46.10583', 'lon': '7.07911'}",Martigny (Martigny),Europe/Paris,stop_area:SNCF:85015008,"[{'insee': '', 'name': 'Martigny', 'level': 8, 'coord': {'lat': '46.103115', 'lon': '7.0727354'}, 'label': 'Martigny', 'id': 'admin:osm:relation:1685332', 'zip_code': ''}]",,85015008,46.10583,7.07911,Martigny
0,"[{'type': 'source', 'value': '80646133'}, {'type': 'uic', 'value': '80646133'}]",Maximiliansau Im Ruesten,[],"{'lat': '49.035', 'lon': '8.2796'}",Maximiliansau Im Ruesten (Wörth am Rhein),Europe/Paris,stop_area:SNCF:80646133,"[{'insee': '', 'name': 'Wörth am Rhein', 'level': 8, 'coord': {'lat': '49.03395129883976', 'lon': '8.18870269755608'}, 'label': 'Wörth am Rhein', 'id': 'admin:osm:relation:904764', 'zip_code': ''}]",,80646133,49.035,8.2796,Wörth am Rhein
21,"[{'type': 'source', 'value': '85010066'}, {'type': 'uic', 'value': '85010066'}]",Meyrin,[],"{'lat': '46.22235', 'lon': '6.0769'}",Meyrin (Meyrin),Europe/Paris,stop_area:SNCF:85010066,"[{'insee': '', 'name': 'Meyrin', 'level': 8, 'coord': {'lat': '46.23222879481358', 'lon': '6.079098779483221'}, 'label': 'Meyrin', 'id': 'admin:osm:relation:1685516', 'zip_code': ''}]",,85010066,46.22235,6.0769,Meyrin
2,"[{'type': 'source', 'value': '85010140'}, {'type': 'uic', 'value': '85010140'}]",Mies,[],"{'lat': '46.299879', 'lon': '6.169566'}",Mies (Mies),Europe/Paris,stop_area:SNCF:85010140,"[{'insee': '', 'name': 'Mies', 'level': 8, 'coord': {'lat': '46.3060321', 'lon': '6.1723029'}, 'label': 'Mies (1295)', 'id': 'admin:osm:relation:1685048', 'zip_code': '1295'}]",,85010140,46.299879,6.169566,Mies
4,"[{'type': 'source', 'value': '83016451'}, {'type': 'uic', 'value': '83016451'}]",MILANO PORTA GARIBALDI,[],"{'lat': '45.484916', 'lon': '9.187694'}",MILANO PORTA GARIBALDI (Milano),Europe/Paris,stop_area:SNCF:83016451,"[{'insee': '', 'name': 'Milano', 'level': 8, 'coord': {'lat': '45.4641943', 'lon': '9.1896346'}, 'label': 'Milano', 'id': 'admin:osm:relation:44915', 'zip_code': ''}]",,83016451,45.484916,9.187694,Milano
9,"[{'type': 'source', 'value': '87756403'}, {'type': 'uic', 'value': '87756403'}]",Monaco-Monte-Carlo,[],"{'lat': '43.738414', 'lon': '7.419747'}",Monaco-Monte-Carlo (Monaco),Europe/Paris,stop_area:SNCF:87756403,"[{'insee': '', 'name': 'Monaco', 'level': 8, 'coord': {'lat': '43.7311424', 'lon': '7.4197576'}, 'label': 'Monaco', 'id': 'admin:osm:relation:2220322', 'zip_code': ''}]",,87756403,43.738414,7.419747,Monaco
21,"[{'type': 'source', 'value': '88810000'}, {'type': 'uic', 'value': '88810000'}]",Mons,[],"{'lat': '50.454', 'lon': '3.942'}",Mons (Mons),Europe/Paris,stop_area:SNCF:88810000,"[{'insee': '', 'name': 'Mons', 'level': 8, 'coord': {'lat': '50.4549568', 'lon': '3.951958'}, 'label': 'Mons', 'id': 'admin:osm:relation:1949374', 'zip_code': ''}]",,88810000,50.454,3.942,Mons
20,"[{'type': 'source', 'value': '85013003'}, {'type': 'uic', 'value': '85013003'}]",Montreux,[],"{'lat': '46.43588', 'lon': '6.91043'}",Montreux (Montreux),Europe/Paris,stop_area:SNCF:85013003,"[{'insee': '', 'name': 'Montreux', 'level': 8, 'coord': {'lat': '46.45176946339488', 'lon': '6.940734284158072'}, 'label': 'Montreux', 'id': 'admin:osm:relation:1685062', 'zip_code': ''}]",,85013003,46.43588,6.91043,Montreux
15,"[{'type': 'source', 'value': '85010371'}, {'type': 'uic', 'value': '85010371'}]",Morges,[],"{'lat': '46.5111', 'lon': '6.49396'}",Morges (Morges),Europe/Paris,stop_area:SNCF:85010371,"[{'insee': '', 'name': 'Morges', 'level': 8, 'coord': {'lat': '46.51396277686894', 'lon': '6.493224031800708'}, 'label': 'Morges (1110)', 'id': 'admin:osm:relation:1685064', 'zip_code': '1110'}]",,85010371,46.5111,6.49396,Morges
13,"[{'type': 'source', 'value': '88857040'}, {'type': 'uic', 'value': '88857040'}]",Mouscron,[],"{'lat': '50.738', 'lon': '3.225'}",Mouscron (Mouscron),Europe/Paris,stop_area:SNCF:88857040,"[{'insee': '', 'name': 'Mouscron', 'level': 8, 'coord': {'lat': '50.7436672', 'lon': '3.2142729'}, 'label': 'Mouscron', 'id': 'admin:osm:relation:1920616', 'zip_code': ''}]",,88857040,50.738,3.225,Mouscron
17,"[{'type': 'source', 'value': '85001057'}, {'type': 'uic', 'value': '85001057'}]",Moutier,[],"{'lat': '47.28067', 'lon': '7.38105'}",Moutier (Moutier),Europe/Paris,stop_area:SNCF:85001057,"[{'insee': '', 'name': 'Moutier', 'level': 8, 'coord': {'lat': '47.2796142', 'lon': '7.3704192'}, 'label': 'Moutier (2740)', 'id': 'admin:osm:relation:1682559', 'zip_code': '2740'}]",,85001057,47.28067,7.38105,Moutier
23,"[{'type': 'source', 'value': '80144139'}, {'type': 'uic', 'value': '80144139'}]",Muellheim (Baden),[],"{'lat': '47.81', 'lon': '7.5996'}",Muellheim (Baden) (Müllheim),Europe/Paris,stop_area:SNCF:80144139,"[{'insee': '', 'name': 'Müllheim', 'level': 8, 'coord': {'lat': '47.80856810840131', 'lon': '7.654554456875666'}, 'label': 'Müllheim', 'id': 'admin:osm:relation:311922', 'zip_code': ''}]",,80144139,47.81,7.5996,Müllheim
14,"[{'type': 'source', 'value': '80203471'}, {'type': 'uic', 'value': '80203471'}]",Munich,[],"{'lat': '48.1401', 'lon': '11.5587'}",Munich (München),Europe/Paris,stop_area:SNCF:80203471,"[{'insee': '', 'name': 'München', 'level': 8, 'coord': {'lat': '48.1371079', 'lon': '11.5753822'}, 'label': 'München', 'id': 'admin:osm:relation:62428', 'zip_code': ''}]",,80203471,48.1401,11.5587,München
7,"[{'type': 'source', 'value': '88630080'}, {'type': 'uic', 'value': '88630080'}]",Namur,[],"{'lat': '50.469', 'lon': '4.862'}",Namur (Namur),Europe/Paris,stop_area:SNCF:88630080,"[{'insee': '', 'name': 'Namur', 'level': 8, 'coord': {'lat': '50.46652839999999', 'lon': '4.8661892'}, 'label': 'Namur (5000-5101)', 'id': 'admin:osm:relation:1405439', 'zip_code': '5000;5101'}]",,88630080,50.469,4.862,Namur
12,"[{'type': 'source', 'value': '80646141'}, {'type': 'uic', 'value': '80646141'}]",Neuburg (Rhein),[],"{'lat': '48.9921', 'lon': '8.238099999999999'}",Neuburg (Rhein) (Neuburg am Rhein),Europe/Paris,stop_area:SNCF:80646141,"[{'insee': '', 'name': 'Neuburg am Rhein', 'level': 8, 'coord': {'lat': '48.98583863441409', 'lon': '8.246834747885996'}, 'label': 'Neuburg am Rhein', 'id': 'admin:osm:relation:1250484', 'zip_code': ''}]",,80646141,48.9921,8.2381,Neuburg am Rhein
13,"[{'type': 'source', 'value': '85042218'}, {'type': 'uic', 'value': '85042218'}]",Neuchatel,[],"{'lat': '46.99673', 'lon': '6.93571'}",Neuchatel (Neuchâtel),Europe/Paris,stop_area:SNCF:85042218,"[{'insee': '', 'name': 'Neuchâtel', 'level': 8, 'coord': {'lat': '46.9895828', 'lon': '6.929264099999999'}, 'label': 'Neuchâtel', 'id': 'admin:osm:relation:1685519', 'zip_code': ''}]",,85042218,46.99673,6.93571,Neuchâtel
15,"[{'type': 'source', 'value': '80144154'}, {'type': 'uic', 'value': '80144154'}]",Neuenburg (Baden),[],"{'lat': '47.8115', 'lon': '7.5628'}",Neuenburg (Baden) (Neuenburg am Rhein),Europe/Paris,stop_area:SNCF:80144154,"[{'insee': '', 'name': 'Neuenburg am Rhein', 'level': 8, 'coord': {'lat': '47.8155916', 'lon': '7.5627871'}, 'label': 'Neuenburg am Rhein', 'id': 'admin:osm:relation:270514', 'zip_code': ''}]",,80144154,47.8115,7.5628,Neuenburg am Rhein
4,"[{'type': 'source', 'value': '80194035'}, {'type': 'uic', 'value': '80194035'}]",Neustadt (Weinstr) Hbf,[],"{'lat': '49.3496', 'lon': '8.1403'}",Neustadt (Weinstr) Hbf (Neustadt an der Weinstra_e),Europe/Paris,stop_area:SNCF:80194035,"[{'insee': '', 'name': 'Neustadt an der Weinstra_e', 'level': 8, 'coord': {'lat': '49.3539802', 'lon': '8.135002099999999'}, 'label': 'Neustadt an der Weinstra_e', 'id': 'admin:osm:relation:62724', 'zip_code': ''}]",,80194035,49.3496,8.1403,Neustadt an der Weinstra_e
5,"[{'type': 'source', 'value': '80920793'}, {'type': 'uic', 'value': '80920793'}]",Neustadt (Weinstra_e) Süd,[],"{'lat': '49.341274', 'lon': '8.157026999999999'}",Neustadt (Weinstra_e) Süd (Neustadt an der Weinstra_e),Europe/Paris,stop_area:SNCF:80920793,"[{'insee': '', 'name': 'Neustadt an der Weinstra_e', 'level': 8, 'coord': {'lat': '49.3539802', 'lon': '8.135002099999999'}, 'label': 'Neustadt an der Weinstra_e', 'id': 'admin:osm:relation:62724', 'zip_code': ''}]",,80920793,49.341274,8.157027,Neustadt an der Weinstra_e
4,"[{'type': 'source', 'value': '83002485'}, {'type': 'uic', 'value': '83002485'}]",NOVARA,[],"{'lat': '45.451371', 'lon': '8.624912999999999'}",NOVARA (Novara),Europe/Paris,stop_area:SNCF:83002485,"[{'insee': '', 'name': 'Novara', 'level': 8, 'coord': {'lat': '45.4464036', 'lon': '8.619655'}, 'label': 'Novara', 'id': 'admin:osm:relation:44898', 'zip_code': ''}]",,83002485,45.451371,8.624913,Novara
18,"[{'type': 'source', 'value': '85010306'}, {'type': 'uic', 'value': '85010306'}]",Nyon,[],"{'lat': '46.38442', 'lon': '6.23596'}",Nyon (Nyon),Europe/Paris,stop_area:SNCF:85010306,"[{'insee': '', 'name': 'Nyon', 'level': 8, 'coord': {'lat': '46.3820585', 'lon': '6.2402791'}, 'label': 'Nyon (1260)', 'id': 'admin:osm:relation:1685074', 'zip_code': '1260'}]",,85010306,46.38442,6.23596,Nyon
5,"[{'type': 'source', 'value': '80143099'}, {'type': 'uic', 'value': '80143099'}]",Offenburg,[],"{'lat': '48.4765', 'lon': '7.9468'}",Offenburg (Offenburg),Europe/Paris,stop_area:SNCF:80143099,"[{'insee': '', 'name': 'Offenburg', 'level': 8, 'coord': {'lat': '48.4716556', 'lon': '7.944378'}, 'label': 'Offenburg', 'id': 'admin:osm:relation:452988', 'zip_code': ''}]",,80143099,48.4765,7.9468,Offenburg
24,"[{'type': 'source', 'value': '83002048'}, {'type': 'uic', 'value': '83002048'}]",OULX CESANA CLAVIERE SESTRIERE,[],"{'lat': '45.038795', 'lon': '6.831431'}",OULX CESANA CLAVIERE SESTRIERE (Oulx),Europe/Paris,stop_area:SNCF:83002048,"[{'insee': '', 'name': 'Oulx', 'level': 8, 'coord': {'lat': '45.0330519', 'lon': '6.83251'}, 'label': 'Oulx', 'id': 'admin:osm:relation:43955', 'zip_code': ''}]",,83002048,45.038795,6.831431,Oulx
17,"[{'type': 'source', 'value': '80251967'}, {'type': 'uic', 'value': '80251967'}]",Perl,[],"{'lat': '49.4731', 'lon': '6.3693'}",Perl (Perl),Europe/Paris,stop_area:SNCF:80251967,"[{'insee': '', 'name': 'Perl', 'level': 8, 'coord': {'lat': '49.4735915', 'lon': '6.3874514'}, 'label': 'Perl', 'id': 'admin:osm:relation:1184400', 'zip_code': ''}]",,80251967,49.4731,6.3693,Perl
18,"[{'type': 'source', 'value': '87697839'}, {'type': 'uic', 'value': '87697839'}]",Perl Gare Routière,[],"{'lat': '49.473147', 'lon': '6.369671'}",Perl Gare Routière (Perl),Europe/Paris,stop_area:SNCF:87697839,"[{'insee': '', 'name': 'Perl', 'level': 8, 'coord': {'lat': '49.4735915', 'lon': '6.3874514'}, 'label': 'Perl', 'id': 'admin:osm:relation:1184400', 'zip_code': ''}]",,87697839,49.473147,6.369671,Perl
8,"[{'type': 'source', 'value': '82009300'}, {'type': 'uic', 'value': '82009300'}]",Petange,[],"{'lat': '49.55419', 'lon': '5.8786'}",Petange (Pétange),Europe/Paris,stop_area:SNCF:82009300,"[{'insee': '', 'name': 'Pétange', 'level': 8, 'coord': {'lat': '49.5566918', 'lon': '5.8776052'}, 'label': 'Pétange', 'id': 'admin:osm:relation:407475', 'zip_code': ''}]",,82009300,49.55419,5.8786,Pétange
16,"[{'type': 'source', 'value': '85010132'}, {'type': 'uic', 'value': '85010132'}]",Pont-Céard,[],"{'lat': '46.28739', 'lon': '6.162667'}",Pont-Céard (Versoix),Europe/Paris,stop_area:SNCF:85010132,"[{'insee': '', 'name': 'Versoix', 'level': 8, 'coord': {'lat': '46.28816642066949', 'lon': '6.156075008179871'}, 'label': 'Versoix (1290)', 'id': 'admin:osm:relation:1685541', 'zip_code': '1290'}]",,85010132,46.28739,6.162667,Versoix
9,"[{'type': 'source', 'value': '85001263'}, {'type': 'uic', 'value': '85001263'}]",Porrentruy,[],"{'lat': '47.42091', 'lon': '7.08009'}",Porrentruy (Porrentruy),Europe/Paris,stop_area:SNCF:85001263,"[{'insee': '', 'name': 'Porrentruy', 'level': 8, 'coord': {'lat': '47.42129657404835', 'lon': '7.070992641256139'}, 'label': 'Porrentruy', 'id': 'admin:osm:relation:1685622', 'zip_code': ''}]",,85001263,47.42091,7.08009,Porrentruy
19,"[{'type': 'source', 'value': '87785956'}, {'type': 'uic', 'value': '87785956'}]",Portbou,[],"{'lat': '42.424701', 'lon': '3.158034'}",Portbou (Portbou),Europe/Paris,stop_area:SNCF:87785956,"[{'insee': '', 'name': 'Portbou', 'level': 8, 'coord': {'lat': '42.4274333', 'lon': '3.1588785'}, 'label': 'Portbou', 'id': 'admin:osm:relation:345217', 'zip_code': ''}]",,87785956,42.424701,3.158034,Portbou
20,"[{'type': 'source', 'value': '85011189'}, {'type': 'uic', 'value': '85011189'}]",Renens VD,[],"{'lat': '46.53704', 'lon': '6.57893'}",Renens VD (Renens),Europe/Paris,stop_area:SNCF:85011189,"[{'insee': '', 'name': 'Renens', 'level': 8, 'coord': {'lat': '46.5349093', 'lon': '6.5928442'}, 'label': 'Renens (1020)', 'id': 'admin:osm:relation:1685116', 'zip_code': '1020'}]",,85011189,46.53704,6.57893,Renens
19,"[{'type': 'source', 'value': '80143255'}, {'type': 'uic', 'value': '80143255'}]",Ringsheim,[],"{'lat': '48.2489', 'lon': '7.7732'}",Ringsheim (Ringsheim),Europe/Paris,stop_area:SNCF:80143255,"[{'insee': '', 'name': 'Ringsheim', 'level': 8, 'coord': {'lat': '48.24793956373062', 'lon': '7.808666677994923'}, 'label': 'Ringsheim', 'id': 'admin:osm:relation:453001', 'zip_code': ''}]",,80143255,48.2489,7.7732,Ringsheim
19,"[{'type': 'source', 'value': '82002370'}, {'type': 'uic', 'value': '82002370'}]",Rodange,[],"{'lat': '49.550911', 'lon': '5.843642'}",Rodange (Pétange),Europe/Paris,stop_area:SNCF:82002370,"[{'insee': '', 'name': 'Pétange', 'level': 8, 'coord': {'lat': '49.5566918', 'lon': '5.8776052'}, 'label': 'Pétange', 'id': 'admin:osm:relation:407475', 'zip_code': ''}]",,82002370,49.550911,5.843642,Pétange
