,codes,name,links,coord,label,timezone,id,administrative_regions,insee,uic,lat,lon,city
11,"[{'type': 'source', 'value': '85001222'}, {'type': 'uic', 'value': '85001222'}]",Bassecourt,[],"{'lat': '47.33668', 'lon': '7.24685'}",Bassecourt (Haute-Sorne),Europe/Paris,stop_area:SNCF:85001222,"[{'insee': '', 'name': 'Haute-Sorne', 'level': 8, 'coord': {'lat': '47.3370866', 'lon': '7.2440935'}, 'label': 'Haute-Sorne (2863)', 'id': 'admin:osm:relation:2759181', 'zip_code': '2863'}]",,85001222,47.33668,7.24685,Haute-Sorne
7,"[{'type': 'source', 'value': '80191064'}, {'type': 'uic', 'value': '80191064'}]",Berg (Pfalz),[],"{'lat': '48.9807', 'lon': '8.2128'}",Berg (Pfalz) (Berg (Pfalz)),Europe/Paris,stop_area:SNCF:80191064,"[{'insee': '', 'name': 'Berg (Pfalz)', 'level': 8, 'coord': {'lat': '48.98233936972913', 'lon': '8.204588638575972'}, 'label': 'Berg (Pfalz)', 'id': 'admin:osm:relation:1250483', 'zip_code': ''}]",,80191064,48.9807,8.2128,Berg (Pfalz)
8,"[{'type': 'source', 'value': '82006030'}, {'type': 'uic', 'value': '82006030'}]",Bettembourg,[],"{'lat': '49.516111', 'lon': '6.101111'}",Bettembourg (Bettembourg),Europe/Paris,stop_area:SNCF:82006030,"[{'insee': '', 'name': 'Bettembourg', 'level': 8, 'coord': {'lat': '49.5173351', 'lon': '6.0966536'}, 'label': 'Bettembourg', 'id': 'admin:osm:relation:407896', 'zip_code': ''}]",,82006030,49.516111,6.101111,Bettembourg
12,"[{'type': 'source', 'value': '85014027'}, {'type': 'uic', 'value': '85014027'}]",Bex,[],"{'lat': '46.25146', 'lon': '7.00067'}",Bex (Bex),Europe/Paris,stop_area:SNCF:85014027,"[{'insee': '', 'name': 'Bex', 'level': 8, 'coord': {'lat': '46.25549837885085', 'lon': '7.088862093835472'}, 'label': 'Bex (1880)', 'id': 'admin:osm:relation:1684852', 'zip_code': '1880'}]",,85014027,46.25146,7.00067,Bex
0,"[{'type': 'source', 'value': '85043000'}, {'type': 'uic', 'value': '85043000'}]",Biel/Bienne,[],"{'lat': '47.13289', 'lon': '7.24292'}",Biel/Bienne (Biel/Bienne),Europe/Paris,stop_area:SNCF:85043000,"[{'insee': '', 'name': 'Biel/Bienne', 'level': 8, 'coord': {'lat': '47.14883479207212', 'lon': '7.260423979479954'}, 'label': 'Biel/Bienne', 'id': 'admin:osm:relation:1682380', 'zip_code': ''}]",,85043000,47.13289,7.24292,Biel/Bienne
10,"[{'type': 'source', 'value': '85001289'}, {'type': 'uic', 'value': '85001289'}]",Boncourt,[],"{'lat': '47.49263', 'lon': '7.01656'}",Boncourt (Boncourt),Europe/Paris,stop_area:SNCF:85001289,"[{'insee': '', 'name': 'Boncourt', 'level': 8, 'coord': {'lat': '47.48797742607516', 'lon': '7.007569021106258'}, 'label': 'Boncourt (2926)', 'id': 'admin:osm:relation:1685574', 'zip_code': '2926'}]",,85001289,47.49263,7.01656,Boncourt
24,"[{'type': 'source', 'value': '88140010'}, {'type': 'uic', 'value': '88140010'}]",Bruxelles Midi,[],"{'lat': '50.836', 'lon': '4.336'}",Bruxelles Midi (Saint-Gilles - Sint-Gillis),Europe/Paris,stop_area:SNCF:88140010,"[{'insee': '', 'name': 'Saint-Gilles - Sint-Gillis', 'level': 8, 'coord': {'lat': '50.8249958', 'lon': '4.3454841'}, 'label': 'Saint-Gilles - Sint-Gillis (1060)', 'id': 'admin:osm:relation:58248', 'zip_code': '1060'}]",,88140010,50.836,4.336,Saint-Gilles - Sint-Gillis
8,"[{'type': 'source', 'value': '85001446'}, {'type': 'uic', 'value': '85001446'}]",Buix,[],"{'lat': '47.47933', 'lon': '7.02998'}",Buix (Basse-Allaine),Europe/Paris,stop_area:SNCF:85001446,"[{'insee': '', 'name': 'Basse-Allaine', 'level': 8, 'coord': {'lat': '47.47052428792801', 'lon': '7.042457430092767'}, 'label': 'Basse-Allaine', 'id': 'admin:osm:relation:1685570', 'zip_code': ''}]",,85001446,47.47933,7.02998,Basse-Allaine
22,"[{'type': 'source', 'value': '71041046'}, {'type': 'uic', 'value': '71041046'}]",CAMP DE TARRAGONA,[],"{'lat': '41.19213', 'lon': '1.271923'}",CAMP DE TARRAGONA (la Secuita),Europe/Paris,stop_area:SNCF:71041046,"[{'insee': '', 'name': 'la Secuita', 'level': 8, 'coord': {'lat': '41.2040962', 'lon': '1.280166'}, 'label': 'la Secuita (43154)', 'id': 'admin:osm:relation:339874', 'zip_code': '43154'}]",,71041046,41.19213,1.271923,la Secuita
15,"[{'type': 'source', 'value': '85010207'}, {'type': 'uic', 'value': '85010207'}]",Chambésy,[],"{'lat': '46.242378', 'lon': '6.147342'}",Chambésy (Pregny-Chambésy),Europe/Paris,stop_area:SNCF:85010207,"[{'insee': '', 'name': 'Pregny-Chambésy', 'level': 8, 'coord': {'lat': '46.23745938258023', 'lon': '6.150837967103715'}, 'label': 'Pregny-Chambésy', 'id': 'admin:osm:relation:1685524', 'zip_code': ''}]",,85010207,46.242378,6.147342,Pregny-Chambésy
