IND,city,lat_city,lon_city
445,Bertholène,44.394079,2.7763454
446,Bertren,42.99985,0.6177
447,Bertrichamps,48.4298292,6.7922853
448,Bertry,50.0863617,3.4440207
449,Les Auxons,47.3011685,5.957158499999999
450,Besançon,47.2380222,6.0243622
452,Guémené-Penfao,47.6294113,-1.8328831
453,Bessancourt,49.0372777,2.2136286
454,Bessay-sur-Allier,46.442066,3.3631418
455,Bétaille,44.9431294,1.7332339
456,Béthune,50.5292608,2.6402097
457,Bettborn,48.8010392,7.0223553
458,Bettembourg,49.5173351,6.0966536
459,Betton,48.1817122,-1.6414898
460,Beuvrages,50.3856245,3.5071608
461,Beuvry,50.5337191,2.6864794
462,Bex,46.25549837885085,7.088862093835472
463,Beynes,48.8558793,1.8735151
464,Beynost,45.8400182,5.0009242
466,Beyrède-Jumet-Camous,42.9572552,0.375641
467,Béziers,43.3426562,3.2131307
468,Bezons,48.92500159999999,2.2105491
469,Biache-Saint-Vaast,50.3116723,2.9440409
470,Biarritz,43.4832523,-1.5592776
473,Bidarray,43.2670721,-1.3510613
474,Bidos,43.1790523,-0.6047222
475,Biel/Bienne,47.14883479207212,7.260423979479954
476,Eurville-Bienville,48.5849954,5.0368226
477,Bièvres,48.7547679,2.2170148
478,Biffontaine,48.2113196,6.8051625
479,Biganos,44.642014,-0.9766226
480,Vallenay,46.78516579999999,2.3711918
481,Billy-Montigny,50.4179484,2.9116301
483,Schiltigheim,48.6047148,7.748448799999999
485,Bischoffsheim,48.4876657,7.4901898
486,Sarrewerden,48.92272209999999,7.0839626
487,Bischwiller,48.76822809999999,7.859746599999999
490,Bitche,49.05087289999999,7.4254577
494,Bitschwiller-lès-Thann,47.8292773,7.079088199999999
496,Mirabel-et-Blacons,44.70959999999999,5.09138
497,Blagny,49.62042,5.189839999999999
498,Damelevières,48.557112,6.387126599999999
499,Blaisy-Bas,47.3720927,4.7409678
500,Blangy-Tronville,49.8801484,2.4237426
501,Blangy-sur-Bresle,49.9326076,1.629493
502,Blangy-sur-Ternoise,50.42145,2.16956
503,Blanquefort,44.9088982,-0.6300363
504,Blanzy,46.7037419,4.389950799999999
505,Vire-sur-Lot,44.4917756,1.0858997
506,Blénod-lès-Toul,48.6000616,5.8343375
507,La Croix-en-Touraine,47.3404879,0.989416
