,codes,name,links,coord,label,timezone,id,administrative_regions,insee,lat,lon,lat_city,lon_city,city
8,"[{'type': 'source', 'value': '87481747'}, {'type': 'uic', 'value': '87481747'}]",Pornichet,[],"{'lat': '47.27043', 'lon': '-2.344865'}",Pornichet (Pornichet),Europe/Paris,stop_area:SNCF:87481747,"[{'insee': '44132', 'name': 'Pornichet', 'level': 8, 'coord': {'lat': '47.2613293', 'lon': '-2.3364238'}, 'label': 'Pornichet (44380)', 'id': 'admin:fr:44132', 'zip_code': '44380'}]",44132,47.27043,-2.344865,47.2613293,-2.3364238,Pornichet
9,"[{'type': 'source', 'value': '85001263'}, {'type': 'uic', 'value': '85001263'}]",Porrentruy,[],"{'lat': '47.42091', 'lon': '7.08009'}",Porrentruy (Porrentruy),Europe/Paris,stop_area:SNCF:85001263,"[{'insee': '', 'name': 'Porrentruy', 'level': 8, 'coord': {'lat': '47.42129657404835', 'lon': '7.070992641256139'}, 'label': 'Porrentruy', 'id': 'admin:osm:relation:1685622', 'zip_code': ''}]",,47.42091,7.08009,47.42129657404835,7.070992641256139,Porrentruy
10,"[{'type': 'source', 'value': '87571794'}, {'type': 'uic', 'value': '87571794'}]",Port Boulet,[],"{'lat': '47.248836', 'lon': '0.155648'}",Port Boulet (Chouzé-sur-Loire),Europe/Paris,stop_area:SNCF:87571794,"[{'insee': '37074', 'name': 'Chouzé-sur-Loire', 'level': 8, 'coord': {'lat': '47.2439', 'lon': '0.109958'}, 'label': 'Chouzé-sur-Loire (37140)', 'id': 'admin:fr:37074', 'zip_code': '37140'}]",37074,47.248836,0.155648,47.2439,0.109958,Chouzé-sur-Loire
11,"[{'type': 'source', 'value': '87478750'}, {'type': 'uic', 'value': '87478750'}]",Port-Brillet,[],"{'lat': '48.110707', 'lon': '-0.974047'}",Port-Brillet (Port-Brillet),Europe/Paris,stop_area:SNCF:87478750,"[{'insee': '53182', 'name': 'Port-Brillet', 'level': 8, 'coord': {'lat': '48.1126614', 'lon': '-0.9715748'}, 'label': 'Port-Brillet (53410)', 'id': 'admin:fr:53182', 'zip_code': '53410'}]",53182,48.110707,-0.974047,48.1126614,-0.9715748,Port-Brillet
12,"[{'type': 'source', 'value': '87753459'}, {'type': 'uic', 'value': '87753459'}]",Port-de-Bouc,[],"{'lat': '43.407203', 'lon': '4.984676'}",Port-de-Bouc (Port-de-Bouc),Europe/Paris,stop_area:SNCF:87753459,"[{'insee': '13077', 'name': 'Port-de-Bouc', 'level': 8, 'coord': {'lat': '43.403098', 'lon': '4.9806998'}, 'label': 'Port-de-Bouc (13110)', 'id': 'admin:fr:13077', 'zip_code': '13110'}]",13077,43.407203,4.984676,43.403098,4.9806998,Port-de-Bouc
13,"[{'type': 'source', 'value': '87575076'}, {'type': 'uic', 'value': '87575076'}]",Port-de-Piles,[],"{'lat': '47.01026', 'lon': '0.598918'}",Port-de-Piles (La Celle-Saint-Avant),Europe/Paris,stop_area:SNCF:87575076,"[{'insee': '37045', 'name': 'La Celle-Saint-Avant', 'level': 8, 'coord': {'lat': '47.0218603', 'lon': '0.6039529'}, 'label': 'La Celle-Saint-Avant (37160)', 'id': 'admin:fr:37045', 'zip_code': '37160'}]",37045,47.01026,0.598918,47.0218603,0.6039529,La Celle-Saint-Avant
14,"[{'type': 'source', 'value': '87781062'}, {'type': 'uic', 'value': '87781062'}]",Port-la-Nouvelle,[],"{'lat': '43.019934', 'lon': '3.038819'}",Port-la-Nouvelle (Port-la-Nouvelle),Europe/Paris,stop_area:SNCF:87781062,"[{'insee': '11266', 'name': 'Port-la-Nouvelle', 'level': 8, 'coord': {'lat': '43.0203536', 'lon': '3.046461'}, 'label': 'Port-la-Nouvelle (11210)', 'id': 'admin:fr:11266', 'zip_code': '11210'}]",11266,43.019934,3.038819,43.0203536,3.046461,Port-la-Nouvelle
15,"[{'type': 'source', 'value': '87758623'}, {'type': 'uic', 'value': '87758623'}]",Port-Royal,[],"{'lat': '48.839923', 'lon': '2.337069'}",Port-Royal (Paris),Europe/Paris,stop_area:SNCF:87758623,"[{'insee': '75056', 'name': 'Paris', 'level': 8, 'coord': {'lat': '48.8534951', 'lon': '2.3483915'}, 'label': 'Paris (75000-75116)', 'id': 'admin:fr:75056', 'zip_code': '75000;75116'}]",75056,48.839923,2.337069,48.8534951,2.3483915,Paris
16,"[{'type': 'source', 'value': '87481218'}, {'type': 'uic', 'value': '87481218'}]",Port-Saint-Père - Saint-Mars,[],"{'lat': '47.116531', 'lon': '-1.739477'}",Port-Saint-Père - Saint-Mars (Port-Saint-Père),Europe/Paris,stop_area:SNCF:87481218,"[{'insee': '44133', 'name': 'Port-Saint-Père', 'level': 8, 'coord': {'lat': '47.13278529999999', 'lon': '-1.749713'}, 'label': 'Port-Saint-Père (44710)', 'id': 'admin:fr:44133', 'zip_code': '44710'}]",44133,47.116531,-1.739477,47.13278529999999,-1.749713,Port-Saint-Père
17,"[{'type': 'source', 'value': '87586107'}, {'type': 'uic', 'value': '87586107'}]",Port-Sainte-Marie,[],"{'lat': '44.250438', 'lon': '0.390506'}",Port-Sainte-Marie (Port-Sainte-Marie),Europe/Paris,stop_area:SNCF:87586107,"[{'insee': '47210', 'name': 'Port-Sainte-Marie', 'level': 8, 'coord': {'lat': '44.250462', 'lon': '0.3990057'}, 'label': 'Port-Sainte-Marie (47130)', 'id': 'admin:fr:47210', 'zip_code': '47130'}]",47210,44.250438,0.390506,44.250462,0.3990057,Port-Sainte-Marie
18,"[{'type': 'source', 'value': '87784264'}, {'type': 'uic', 'value': '87784264'}]",Port-Vendres,[],"{'lat': '42.513608', 'lon': '3.102576'}",Port-Vendres (Port-Vendres),Europe/Paris,stop_area:SNCF:87784264,"[{'insee': '66148', 'name': 'Port-Vendres', 'level': 8, 'coord': {'lat': '42.5204146', 'lon': '3.1056167'}, 'label': 'Port-Vendres (66660)', 'id': 'admin:fr:66148', 'zip_code': '66660'}]",66148,42.513608,3.102576,42.5204146,3.1056167,Port-Vendres
19,"[{'type': 'source', 'value': '87785956'}, {'type': 'uic', 'value': '87785956'}]",Portbou,[],"{'lat': '42.424701', 'lon': '3.158034'}",Portbou (Portbou),Europe/Paris,stop_area:SNCF:87785956,"[{'insee': '', 'name': 'Portbou', 'level': 8, 'coord': {'lat': '42.4274333', 'lon': '3.1588785'}, 'label': 'Portbou', 'id': 'admin:osm:relation:345217', 'zip_code': ''}]",,42.424701,3.158034,42.4274333,3.1588785,Portbou
20,"[{'type': 'source', 'value': '87414466'}, {'type': 'uic', 'value': '87414466'}]",Porte d'Italie,[],"{'lat': '48.819065', 'lon': '2.359539'}",Porte d'Italie (Paris),Europe/Paris,stop_area:SNCF:87414466,"[{'insee': '75056', 'name': 'Paris', 'level': 8, 'coord': {'lat': '48.8534951', 'lon': '2.3483915'}, 'label': 'Paris (75000-75116)', 'id': 'admin:fr:75056', 'zip_code': '75000;75116'}]",75056,48.819065,2.359539,48.8534951,2.3483915,Paris
21,"[{'type': 'source', 'value': '87433151'}, {'type': 'uic', 'value': '87433151'}]",Porte de Bagnolet Noctilien,[],"{'lat': '48.86454', 'lon': '2.406902'}",Porte de Bagnolet Noctilien (Paris),Europe/Paris,stop_area:SNCF:87433151,"[{'insee': '75056', 'name': 'Paris', 'level': 8, 'coord': {'lat': '48.8534951', 'lon': '2.3483915'}, 'label': 'Paris (75000-75116)', 'id': 'admin:fr:75056', 'zip_code': '75000;75116'}]",75056,48.86454,2.406902,48.8534951,2.3483915,Paris
